name,country,email,categories,id,image_url
Agência USP de Inovação,Brazil,hello@usp.com,{StudentClub},1,https://startglobal1920.notion.site/image/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fsecure.notion-static.com%2F58fede67-b34e-4021-ba5a-104836bbd89f%2Fdownload_(3).png?table=block&id=5d0459ac-44b5-4489-b87d-39fbbb98dfe1&spaceId=6931b1b2-efb3-4cf4-b9f1-ca8ea0426c70&width=1700&userId=&cache=v2
WeInvest LatAm,Argentina,there@invest.com,"{AngelNetwork,Other}",2,https://startglobal1920.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2F6931b1b2-efb3-4cf4-b9f1-ca8ea0426c70%2Fd838effd-b243-4209-b561-aabfdf6265c5%2Fdownload.jpg?table=block&id=0129f08c-f668-4978-afd3-4463f77c7e57&spaceId=6931b1b2-efb3-4cf4-b9f1-ca8ea0426c70&width=1700&userId=&cache=v2
Draper Startup House,Argentina,general@draper.com,{InnovationHub},3,https://startglobal1920.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2F6931b1b2-efb3-4cf4-b9f1-ca8ea0426c70%2Ff45601c6-c4ca-401c-ae2d-3848e05910d2%2Ftribetheory_logo.jpg?table=block&id=566e3669-e3c4-46fe-84ff-43ee7e9b1f24&spaceId=6931b1b2-efb3-4cf4-b9f1-ca8ea0426c70&width=1700&userId=&cache=v2
Pipe Ventures,Brazil,kenobi@pipe.com,{VC},4,https://startglobal1920.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2F6931b1b2-efb3-4cf4-b9f1-ca8ea0426c70%2F4590a71b-b852-4911-9da0-6eaa52f7f686%2Fpipe_ventures_logo.jpg?table=block&id=b0bb088f-ae37-4485-be65-bb51817db679&spaceId=6931b1b2-efb3-4cf4-b9f1-ca8ea0426c70&width=1700&userId=&cache=v2
FGV Rio Direito Law School,Brazil,never@direito.com,{University},5,https://startglobal1920.notion.site/image/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fsecure.notion-static.com%2F0e0e5460-e1ca-456a-8f61-1a8312041cda%2F0-1.png?table=block&id=4380ee5d-4ea3-4430-8da0-e6ba6d983a98&spaceId=6931b1b2-efb3-4cf4-b9f1-ca8ea0426c70&width=1700&userId=&cache=v2
HITE,Brazil,gonna@hite.com,{StudentClub},6,https://startglobal1920.notion.site/image/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fsecure.notion-static.com%2F1b89c902-e6c7-491b-a018-bf3b008500cd%2F1657047083257.jpeg?table=block&id=bd11eb74-a06d-4ac3-bcad-72657c6346ec&spaceId=6931b1b2-efb3-4cf4-b9f1-ca8ea0426c70&width=1700&userId=&cache=v2
LatAm Edge,Brazil,give@latam.com,{ScaleUp},7,https://startglobal1920.notion.site/image/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fsecure.notion-static.com%2Facc328cf-fe83-4117-b6f5-473915b370bc%2Fdownload_(6).png?table=block&id=945939a2-9afd-4ef4-b22d-d321349b6002&spaceId=6931b1b2-efb3-4cf4-b9f1-ca8ea0426c70&width=1700&userId=&cache=v2
NEU - Núcleo de Empreendedorismo da USP,Brazil,you@neu.com,{StudentClub},8,https://startglobal1920.notion.site/image/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fsecure.notion-static.com%2F2fd69400-edcf-4eb7-93cb-c24fb81397b1%2F280px-Logo_Neu.png?table=block&id=a54db2a9-cde2-4ef3-8cea-397dc955040d&spaceId=6931b1b2-efb3-4cf4-b9f1-ca8ea0426c70&width=1700&userId=&cache=v2
Chile Ventures,Chile,up@chileventures.com,{VC},9,https://startglobal1920.notion.site/image/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fsecure.notion-static.com%2Fa62e4c70-f3cd-40b6-8e41-591f12655780%2Flogo_1.png?table=block&id=6d7a714f-0328-4f65-ac48-5b638f93877c&spaceId=6931b1b2-efb3-4cf4-b9f1-ca8ea0426c70&width=1700&userId=&cache=v2
Startup Chile,Chile,never@startupchile.com,{Accelerator},10,https://startglobal1920.notion.site/image/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fsecure.notion-static.com%2Fdcc92974-89dc-48a3-b822-b65be0db7d64%2Fdownload_(24).png?table=block&id=6d2240d4-e832-4022-8abf-32783f88e0b3&spaceId=6931b1b2-efb3-4cf4-b9f1-ca8ea0426c70&width=1700&userId=&cache=v2
